Kind,Name,Essential,Cyclomatic,CyclomaticModified,CyclomaticStrict
Function,"M0001",1,50,1,1
Function,"M0002",20,20,1,1
Function,"M0003",1,20,1,1
Function,"M0004",1,20,1,1
Function,"M0005",1,20,1,1
Function,"M0006",1,10,1,1
Function,"M0007",1,10,1,1
Function,"M0008",1,10,1,1
Function,"M0009",1,10,1,1
Function,"M0010",1,10,1,1
Function,"M0011",1,10,1,1
Function,"M0012",1,10,1,1
Function,"M0013",1,10,1,1
Function,"M0014",1,10,1,1
Function,"M0015",1,10,1,1
Function,"M0016",1,10,1,1
Function,"M0017",1,10,1,1
Function,"M0018",1,10,1,1
Function,"M0019",1,10,1,1
Function,"M0020",1,10,1,1
Function,"M0021",1,10,1,1
Function,"M0022",1,10,1,1
Function,"M0023",1,10,1,1
Function,"M0024",1,10,1,1
Function,"M0025",1,10,1,1
Function,"M0026",1,10,1,1
Function,"M0027",1,10,1,1
Function,"M0028",1,10,1,1
Function,"M0029",1,10,1,1
Function,"M0030",1,10,1,1
Function,"M0031",1,5,1,1
Function,"M0032",1,5,1,1
Function,"M0033",1,5,1,1
Function,"M0034",1,5,1,1
Function,"M0035",1,5,1,1
Function,"M0036",1,5,1,1
Function,"M0037",1,5,1,1
Function,"M0038",1,5,1,1
Function,"M0039",1,5,1,1
Function,"M0040",1,5,1,1
Function,"M0041",1,5,1,1
Function,"M0042",1,5,1,1
Function,"M0043",1,5,1,1
Function,"M0044",1,5,1,1
Function,"M0045",1,5,1,1
Function,"M0046",1,5,1,1
Function,"M0047",1,5,1,1
Function,"M0048",1,5,1,1
Function,"M0049",1,5,1,1
Function,"M0050",1,5,1,1
Function,"M0051",1,5,1,1
Function,"M0052",1,5,1,1
Function,"M0053",1,5,1,1
Function,"M0054",1,5,1,1
Function,"M0055",1,5,1,1
Function,"M0056",1,5,1,1
Function,"M0057",1,5,1,1
Function,"M0058",1,5,1,1
Function,"M0059",1,5,1,1
Function,"M0060",1,5,1,1
Function,"M0061",1,5,1,1
Function,"M0062",1,5,1,1
Function,"M0063",1,5,1,1
Function,"M0064",1,5,1,1
Function,"M0065",1,5,1,1
Function,"M0066",1,5,1,1
Function,"M0067",1,5,1,1
Function,"M0068",1,5,1,1
Function,"M0069",1,5,1,1
Function,"M0070",1,5,1,1
Function,"M0071",1,5,1,1
Function,"M0072",1,5,1,1
Function,"M0073",1,5,1,1
Function,"M0074",1,5,1,1
Function,"M0075",1,5,1,1
Function,"M0076",1,5,1,1
Function,"M0077",1,5,1,1
Function,"M0078",1,5,1,1
Function,"M0079",1,5,1,1
Function,"M0080",1,5,1,1
Function,"M0081",1,5,1,1
Function,"M0082",1,5,1,1
Function,"M0083",1,5,1,1
Function,"M0084",1,5,1,1
Function,"M0085",1,5,1,1
Function,"M0086",1,5,1,1
Function,"M0087",1,5,1,1
Function,"M0088",1,5,1,1
Function,"M0089",1,5,1,1
Function,"M0090",1,5,1,1
Function,"M0091",1,5,1,1
Function,"M0092",1,5,1,1
Function,"M0093",1,5,1,1
Function,"M0094",1,5,1,1
Function,"M0095",1,5,1,1
Function,"M0096",1,5,1,1
Function,"M0097",1,5,1,1
Function,"M0098",1,5,1,1
Function,"M0099",1,5,1,1
Function,"M0100",1,5,1,1
Function,"M0101",1,5,1,1
Function,"M0102",1,5,1,1
Function,"M0103",1,5,1,1
Function,"M0104",1,5,1,1
Function,"M0105",1,5,1,1
Function,"M0106",1,5,1,1
Function,"M0107",1,5,1,1
Function,"M0108",1,5,1,1
Function,"M0109",1,5,1,1
Function,"M0110",1,5,1,1
Function,"M0111",1,5,1,1
Function,"M0112",1,5,1,1
Function,"M0113",1,5,1,1
Function,"M0114",1,5,1,1
Function,"M0115",1,5,1,1
Function,"M0116",1,5,1,1
Function,"M0117",1,5,1,1
Function,"M0118",1,5,1,1
Function,"M0119",1,5,1,1
Function,"M0120",1,5,1,1
Function,"M0121",1,5,1,1
Function,"M0122",1,5,1,1
Function,"M0123",1,5,1,1
Function,"M0124",1,5,1,1
Function,"M0125",1,5,1,1
Function,"M0126",1,5,1,1
Function,"M0127",1,5,1,1
Function,"M0128",1,5,1,1
Function,"M0129",1,5,1,1
Function,"M0130",1,5,1,1